f,iid,cd,dn,cs,dt
"false","0","08680365","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:39.7150000+03:00"
"true","368791224","08680483","Державне підприємство "Підприємство Миколаївської виправної колонії управління Державної пенітенціарної служби України у Львівській області (№50)"","зареєстровано","2017-02-14T10:10:40.2940000+03:00"
"true","435759869","08680493","Державне підприємство "Підприємство Держівської виправної колонії управління Державної пенітенціарної служби україни у Львівській області (№110)"","зареєстровано","2017-02-14T10:10:40.7590000+03:00"
"true","366312546","08680508","Державне підприємство "Підприємство державної кримінальної -виконавчої служби України (№203)"","зареєстровано","2017-02-14T10:10:41.0760000+03:00"
"true","364938906","08680520","Державне підприємство"Підприємство Державної кримінально-виконавчої служби України (№53)"","зареєстровано","2017-02-14T10:10:41.3790000+03:00"
"true","365100852","08680537","Державне підприємство "Підприємство Арбузинської виправної колонії управління Державної пенітенціарної служби України в Миколаївській області (№83)"","зареєстровано","2017-02-14T10:10:41.6850000+03:00"
"true","365341523","08680543","Державне підприємство "підприємство Казанківської виправної колонії управління державної пенітенціарної служби України в Миколаївській області (№ 93)"","зареєстровано","2017-02-14T10:10:42.0000000+03:00"
"true","364818496","08680566","Державне підприємство "Підприємство Новобузького виправного центру Державної пенітенціарної служби України в Миколаївській області №103"","зареєстровано","2017-02-14T10:10:42.2920000+03:00"
"true","366326708","08680454","Державне підприємство "Підприємство Дрогобицької виправної колонії управління державної пенітенціарної служби України у Львівській області (№40)","зареєстровано","2017-02-14T10:10:42.6000000+03:00"
"false","0","08680299","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:42.9390000+03:00"
"true","365610151","08680626","Державне підприємство" Сільськогосподарське Підприємство Машівської виправної колонії УДПтС України в Полтавській області (№9)","зареєстровано","2017-02-14T10:10:43.2830000+03:00"
"true","365035034","08680187",""Підприємство Бучанської виправної колонії управління Державної пенітенціарної служби України в м. Києві та Київській області (№85)"","зареєстровано","2017-02-14T10:10:43.5820000+03:00"
"true","365139873","08680193","УПРАВЛІННЯ ДЕРЖАВНОЇ ПЕНІТЕНЦІАРНОЇ СЛУЖБИ УКРАЇНИ В м. КИЄВІ ТА КИЇВСЬКІЙ ОБЛАСТІ ПІДПРИЄМСТВО БЕРЕЗАНСЬКОЇ ВИПРАВНОЇ КОЛОНІЇ (№95)","зареєстровано","2017-02-14T10:10:43.8960000+03:00"
"false","0","08680201","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:44.2090000+03:00"
"true","467217768","08680224","Державне підприємство "Підприємство Ірпінського виправного центру управління Державної пенітенціарної служби України в м.Києві та Київській облаасті (№132)"","зареєстровано","2017-02-14T10:10:44.5120000+03:00"
"true","441863685","08680230","Державне підприємство"Сільськогосподарське підприємство Кагарлицької виправної колонії (№115)"","зареєстровано","2017-02-14T10:10:44.8140000+03:00"
"true","104289557","08680253","Державне підприємство "Підприємство Кіровоградської виправної колонії управління Державної пенітенціарної служби України в Кіровоградській області (№6)"","зареєстровано","2017-02-14T10:10:45.1180000+03:00"
"false","0","08680388","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:45.4020000+03:00"
"true","396309470","08680282","Державне підприємство "Сільськогосподарське підприємство Олександрівського виправного центру управлння державної пенітенціарної служби України в Кіровоградській області (№104)"","зареєстровано","2017-02-14T10:10:45.7020000+03:00"
"false","0","08680371","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:46.0050000+03:00"
