edrpou,org_id,reg_date,full_name,address,head,r_code,region,activity,bankruptcy
00689214,107593524,2016-04-30,"ДП ""ПОЛТАВСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНИЙ ІНСТИТУТ ЗЕМЛЕУСТРОЮ""","38750 ПОЛТАВСЬКА ОБЛ., ПОЛТАВСЬКИЙ Р-Н, С.ЩЕРБАНІ, ВУЛИЦЯ ЦЕНТРАЛЬНА, 6","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-53,Полтавська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00689237,NA,2017-02-28,"ДП ""ХАРКІВСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНИЙ ІНСТИТУТ ЗЕМЛЕУСТРОЮ""","61145 М.ХАРКІВ, ДЗЕРЖИНСЬКИЙ Р-Н, ВУЛИЦЯ КОСМІЧНА, 21","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-63,Харківська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00692127,106922697,2016-04-30,"ДП ""ВІННИЦЬКИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНИЙ ІНСТИТУТ ЗЕМЛЕУСТРОЮ""","21027 М.ВІННИЦЯ, ВУЛИЦЯ КЕЛЕЦЬКА, 63","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-05,Вінницька,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00692239,NA,NA,"ДП ""ТУЛЬЧИНСЬКЕ ВИРОБНИЧЕ ПІДПРИЄМСТВО ПО ПЛЕМІННІЙ СПРАВІ В ТВАРИННИЦТВІ""","23609 ВІННИЦЬКА ОБЛ., ТУЛЬЧИНСЬКИЙ Р-Н, С.НЕСТЕРВАРКА, ВУЛИЦЯ ЛЕОНТОВИЧА, 62",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-05,Вінницька,Розведення іншої великої рогатої худоби та буйволів,зареєстровано
00692334,NA,NA,ДП ГОЛОБСЬКА ЛЬОНОНАСІННЄВА СТАНЦІЯ,"45070 ВОЛИНСЬКА ОБЛ., КОВЕЛЬСЬКИЙ Р-Н, СМТ ГОЛОБИ, ВУЛИЦЯ ВОКЗАЛЬНА, 31",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-07,Волинська,Оптова торгівля квітами і рослинами,в стані припинення
00692386,190617947,2016-07-31,"ДП ""ВОЛИНСЬКЕ ОБЛАСНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ВИРОБНИЧЕ ПІДПРИЄМСТВО ПО ПЛЕМІННІЙ СПРАВІ У ТВАРИННИЦТВІ""","45626 ВОЛИНСЬКА ОБЛ., ЛУЦЬКИЙ Р-Н, СМТ РОКИНІ",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-07,Волинська,Розведення іншої великої рогатої худоби та буйволів,зареєстровано
00692630,106961173,2016-04-30,"ДП ""ВОЛИНСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНИЙ ІНСТИТУТ ЗЕМЛЕУСТРОЮ""","43021 М.ЛУЦЬК, ВУЛИЦЯ ВИННИЧЕНКА, 63","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-07,Волинська,Дослідження й експериментальні розробки у сфері біотехнологій,зареєстровано
00692831,351927916,2016-11-30,"ДП ""ЛУГАНСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНИЙ ІНСТИТУТ ЗЕМЛЕУСТРОЮ""","91033 М.ЛУГАНСЬК, ЛЕНІНСЬКИЙ Р-Н, ВУЛИЦЯ ОБОРОННА, 101 Б","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-09,ОРДЛО,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00693138,NA,NA,"ДП ""ДНІПРОПЕТРОВСЬКЕ ОБЛАСНЕ ПІДПРИЄМСТВО ПО ПЛЕМІННІЙ СПРАВІ У ТВАРИННИЦТВІ ""ОБЛПЛЕМПІДПРИЄМСТВО""","52052 ДНІПРОПЕТРОВСЬКА ОБЛ., ДНІПРОПЕТРОВСЬКИЙ Р-Н, С-ЩЕ ГОРЬКОГО",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-12,Дніпропетровська,Розведення великої рогатої худоби молочних порід,зареєстровано
00693150,NA,NA,"ДП ""ВАСИЛЬКІВСЬКЕ ПІДПРИЄМСТВО ПО ПЛЕМІННІЙ СПРАВІ В ТВАРИННИЦТВІ""","52600 ДНІПРОПЕТРОВСЬКА ОБЛ., ВАСИЛЬКІВСЬКИЙ Р-Н, СМТ ВАСИЛЬКІВКА, ВУЛИЦЯ ЛЕСІ УКРАЇНКИ, 1",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-12,Дніпропетровська,Розведення великої рогатої худоби,припинено
00693227,NA,NA,"ДП ""СОФІЇВСЬКЕ ПІДПРИЄМСТВО ПО ПЛЕМІННІЙ СПРАВІ В ТВАРИННИЦТВІ""","53172 ДНІПРОПЕТРОВСЬКА ОБЛ., СОФІЇВСЬКИЙ Р-Н, С.ЖОВТНЕВЕ, ВУЛИЦЯ 40 РОКІВ ПЕРЕМОГИ, 2",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-12,Дніпропетровська,Допоміжна діяльність у тваринництві,зареєстровано
