edrpou,org_id,reg_date,full_name,edrpou_name,head,hd_nm,r_code,region,addr,activity,kved_orig,kved_10_gr,kved_10_nm,bankruptcy,nm_fl,nm_sh,kved,status
00412754,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТАВРИДА""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТАВРИДА""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,ГОЛОВАНЬ ОЛЕКСАНДР ВОЛОДИМИРОВИЧ,UA-01,АР Крим,"98540, Автономна Республіка Крим, місто Алушта, село Кипарисне",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТАВРИДА""","ДП ""ТАВРИДА""",01.21 Вирощування винограду,зареєстровано
00412760,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛІВАДІЯ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛІВАДІЯ""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,КОЛОСОВСЬКА ВАЛЕРІЯ ОЛЕКСАНДРІВНА,UA-01,АР Крим,"98655, Автономна Республіка Крим, місто Ялта, селище міського типу Лівадія, ВУЛИЦЯ ВИНОГРАДНА, будинок 2",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛІВАДІЯ""","ДП ""ЛІВАДІЯ""",01.21 Вирощування винограду,зареєстровано
00412820,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СУДАК""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СУДАК""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,КУЗЬМЕНКО ВОЛОДИМИР МИКОЛАЙОВИЧ,UA-01,АР Крим,"98000, Автономна Республіка Крим, місто Судак, ВУЛИЦЯ АЛУШТИНСЬКА, будинок 15",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СУДАК""","ДП ""СУДАК""",01.21 Вирощування винограду,зареєстровано
00412837,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МОРСЬКЕ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МОРСЬКЕ""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,МИРСЬКА ЖАННА ЛЬВІВНА,UA-01,АР Крим,"98033, Автономна Республіка Крим, місто Судак, село Морське, ВУЛИЦЯ КАРЛА МАРКСА, будинок 35",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МОРСЬКЕ""","ДП ""МОРСЬКЕ""",01.21 Вирощування винограду,зареєстровано
00412843,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГУРЗУФ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГУРЗУФ""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,КОВАЛЕНКО ОЛЕГ ОЛЕКСАНДРОВИЧ,UA-01,АР Крим,"98640, Автономна Республіка Крим, місто Ялта, селище міського типу Гурзуф, ВУЛИЦЯ ПРИВЕТНА, будинок 4",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГУРЗУФ""","ДП ""ГУРЗУФ""",01.21 Вирощування винограду,зареєстровано
00412866,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ""ПЛОДОВЕ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ""ПЛОДОВЕ""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,ДАНИЛІВ БОРИС ВАСИЛЬОВИЧ,UA-01,АР Крим,"98410, Автономна Республіка Крим, Бахчисарайський район, село Плодове, ВУЛИЦЯ ЛЕНІНА, будинок 60",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ""ПЛОДОВЕ""","ДП РАДГОСП-ЗАВОД ""ПЛОДОВЕ""",01.21 Вирощування винограду,зареєстровано
00412926,0,NA,"ДЕРЖАВНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""АГРОПРОМКОМБІНАТ ""ВИНОГРАДНИЙ""","ДЕРЖАВНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""АГРОПРОМКОМБІНАТ ""ВИНОГРАДНИЙ""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ,ОКОРОКОВА ВАЛЕНТИНА МИКОЛАЇВНА,UA-01,АР Крим,"97551, Автономна Республіка Крим, Сімферопольський район, село Кольчугине, ВУЛИЦЯ ЧЕХОВА, будинок 1",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""АГРОПРОМКОМБІНАТ ""ВИНОГРАДНИЙ""",NA,68.20 Надання в оренду й експлуатацію власного чи орендованого нерухомого майна,зареєстровано
00412990,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ""ЄВПАТОРІЙСЬКИЙ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ""ЄВПАТОРІЙСЬКИЙ""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ,ДЕРЖАВІН МИКОЛА ВОЛОДИМИРОВИЧ,UA-01,АР Крим,"96524, Автономна Республіка Крим, Сакський район, село Вересаєве, ВУЛИЦЯ МОЛОДІЖНА, будинок 45",Вирощування зерняткових і кісточкових фруктів,01.24,01,сільське і лісове господарство,порушено справу про банкрутство,"ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ""ЄВПАТОРІЙСЬКИЙ""","ДП РАДГОСП-ЗАВОД ""ЄВПАТОРІЙСЬКИЙ""",01.24 Вирощування зерняткових і кісточкових фруктів,порушено справу про банкрутство
00413009,0,NA,ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ІМ.1 МАЯ,ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ІМ.1 МАЯ,МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ,МАЦУНЯК МИХАЙЛО ОЛЕКСІЙОВИЧ,UA-01,АР Крим,"96300, Автономна Республіка Крим, Первомайський район, селище міського типу Первомайське, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 11","Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",01.11,01,сільське і лісове господарство,в стані припинення,ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ІМ.1 МАЯ,ДП РАДГОСП-ЗАВОД ІМ.1 МАЯ,"01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",в стані припинення
00413015,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО АГРОПРОМИСЛОВА ФІРМА ""ПРИБРЕЖНА""","ДЕРЖАВНЕ ПІДПРИЄМСТВО АГРОПРОМИСЛОВА ФІРМА ""ПРИБРЕЖНА""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ,ДАНІЛОВИЧ ВОЛОДИМИР КОСТЯНТИНОВИЧ,UA-01,АР Крим,"96447, Автономна Республіка Крим, Чорноморський район, село Медведеве, ВУЛ.НОВА, будинок 26",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО АГРОПРОМИСЛОВА ФІРМА ""ПРИБРЕЖНА""","А/Ф ""ПРИБРЕЖНА""",01.21 Вирощування винограду,зареєстровано
