edrpou,org_id,reg_date,full_name,edrpou_name,head,hd_nm,r_code,region,addr,activity,kved_orig,kved_10_gr,kved_10_nm,bankruptcy,nm_fl,nm_sh,kved,status
14312884,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ДНІПРОПЕТРОВСЬКЕ СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ""ЕЛЕВАТОРМЛИНМАШ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ДНІПРОПЕТРОВСЬКЕ СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ""ЕЛЕВАТОРМЛИНМАШ""",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,КАПІТАНОВ ВАДИМ ВАСИЛЬОВИЧ,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ СТАРОКОЗАЦЬКА, будинок 16/18",Механічне оброблення металевих виробів,25.62,25,виробництво,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОПЕТРОВСЬКЕ СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ""ЕЛЕВАТОРМЛИНМАШ""","ДП ""СКТБ ""ЕЛЕВАТОРМЛИНМАШ""",25.62 Механічне оброблення металевих виробів,зареєстровано
14313369,71969369,2016-03-31,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОВСЬКИЙ ПРОЕКТНИЙ ІНСТИТУТ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОВСЬКИЙ ПРОЕКТНИЙ ІНСТИТУТ""",ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,СОКОЛОВ ОЛЕГ ВОЛОДИМИРОВИЧ,UA-12,Дніпропетровська,"49008, Дніпропетровська обл., місто Дніпро, Красногвардійський район, ВУЛИЦЯ ТЕАТРАЛЬНА, будинок 6",Діяльність у сфері архітектури,71.12,71,дослідження,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОВСЬКИЙ ПРОЕКТНИЙ ІНСТИТУТ""","ДП ""ДПІ""","71.12 Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",зареєстровано
16403622,0,NA,"ДЕРЖАВНЕ ЗОВНІШНЬОЕКОНОМІЧНЕ ПІДПРИЄМСТВО ""СЛАВУТИЧ-СТАЛЬ""","ДЕРЖАВНЕ ЗОВНІШНЬОЕКОНОМІЧНЕ ПІДПРИЄМСТВО ""СЛАВУТИЧ-СТАЛЬ""",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,ГУЛЯЄВ АНАТОЛІЙ ЮРІЙОВИЧ,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ВУЛИЦЯ ШЕВЧЕНКА, будинок 59",Діяльність головних управлінь (хед-офісів),74.15,70,дослідження,в стані припинення,"ДЕРЖАВНЕ ЗОВНІШНЬОЕКОНОМІЧНЕ ПІДПРИЄМСТВО ""СЛАВУТИЧ-СТАЛЬ""","ДЗЕП ""СЛАВУТИЧ-СТАЛЬ""",74.15.0 УПРАВЛІННЯ ПІДПРИЄМСТВАМИ,в стані припинення
19090572,155260895,2016-07-31,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ДЕЗАКТИВАЦІЇ ТА КОМПЛЕКСНОГО ПОВОДЖЕННЯ З РАДІОАКТИВНИМИ ВІДХОДАМИ, РЕЧОВИНАМИ, ДЖЕРЕЛАМИ ІОНІЗУЮЧОГО ВИПРОМІНЮВАННЯ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ДЕЗАКТИВАЦІЇ ТА КОМПЛЕКСНОГО ПОВОДЖЕННЯ З РАДІОАКТИВНИМИ ВІДХОДАМИ, РЕЧОВИНАМИ, ДЖЕРЕЛАМИ ІОНІЗУЮЧОГО ВИПРОМІНЮВАННЯ""",ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,ЖАЛДАК ДЕНИС МИКОЛАЙОВИЧ,UA-12,Дніпропетровська,"52204, Дніпропетровська обл., місто Жовті Води, БУЛЬВАР СВОБОДИ, будинок 37 К",Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,72.19,72,дослідження,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ДЕЗАКТИВАЦІЇ ТА КОМПЛЕКСНОГО ПОВОДЖЕННЯ З РАДІОАКТИВНИМИ ВІДХОДАМИ, РЕЧОВИНАМИ, ДЖЕРЕЛАМИ ІОНІЗУЮЧОГО ВИПРОМІНЮВАННЯ""","ДП "" НТЦ КПРВ""",72.19 Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
19091034,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНЖЕНЕРНИЙ ЦЕНТР""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНЖЕНЕРНИЙ ЦЕНТР""","УКРАЇНСЬКА ДЕРЖАВНА БУДІВЕЛЬНА КОРПОРАЦІЯ ""УКРБУД""",КАЗИМИРСЬКИЙ ВОЛОДИМИР РУДОЛЬФОВИЧ,UA-12,Дніпропетровська,"49026, Дніпропетровська обл., місто Дніпро, Амур-Нижньодніпровський район,  ВУЛИЦЯ СОФІЇ КОВАЛЕВСЬКОЇ , будинок 4","Інша професійна, наукова та технічна діяльність",74.90,74,дослідження,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНЖЕНЕРНИЙ ЦЕНТР""","ДП ""ІНЖЕНЕРНИЙ ЦЕНТР""","74.90 Інша професійна, наукова та технічна діяльність, н. в. і. у.",зареєстровано
19096505,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛАБОРАТОРІЯ ВЕЛИКОМАСШТАБНИХ ГІДРАВЛІЧНИХ І ГЕОТЕХНІЧНИХ ДОСЛІДЖЕНЬ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛАБОРАТОРІЯ ВЕЛИКОМАСШТАБНИХ ГІДРАВЛІЧНИХ І ГЕОТЕХНІЧНИХ ДОСЛІДЖЕНЬ""",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,ДРОБАХІН ВАЛЕРІЙ ПЕТРОВИЧ,UA-12,Дніпропетровська,"51918, Дніпропетровська обл., місто Кам’янське, Дніпровський район, ВУЛИЦЯ МОРОЗОВА, будинок 1",Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,72.19,72,дослідження,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛАБОРАТОРІЯ ВЕЛИКОМАСШТАБНИХ ГІДРАВЛІЧНИХ І ГЕОТЕХНІЧНИХ ДОСЛІДЖЕНЬ""",ДП ЛВГГД,72.19 Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
19145787,0,NA,МАЛЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО КРИВОРІЗЬКА ФІЛІЯ ВИЩОЇ ШКОЛИ ПІДПРИЄМНИЦТВА,МАЛЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО КРИВОРІЗЬКА ФІЛІЯ ВИЩОЇ ШКОЛИ ПІДПРИЄМНИЦТВА,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ,МІРОНОВ ВІКТОР СЕМЕНОВИЧ,UA-12,Дніпропетровська,"50099, Дніпропетровська обл., місто Кривий Ріг, Центрально-Міський район, ПЛОЩА ВИЗВОЛЕННЯ, будинок 2",Професійно-технічна освіта,85.32,85,дослідження,"зареєстровано, свідоцтво про державну реєстрацію недійсне",МАЛЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО КРИВОРІЗЬКА ФІЛІЯ ВИЩОЇ ШКОЛИ ПІДПРИЄМНИЦТВА,NA,85.32 Професійно-технічна освіта,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
20197803,0,2017-03-31,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ФІРМА ""ГКР""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ФІРМА ""ГКР""",МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ,ЛИСАКОВ АНДРІЙ ВІКТОРОВИЧ,UA-12,Дніпропетровська,"49600, Дніпропетровська обл., місто Дніпро, Жовтневий район, ПРОСПЕКТ ГАГАРІНА, будинок 4",Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,72.19,72,дослідження,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ФІРМА ""ГКР""","ДП ФІРМА ""ГКР""",72.19 Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
20204928,352283068,2016-11-30,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХЛІБНА БАЗА №73"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХЛІБНА БАЗА №73"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ",ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,ТКАЧЕНКО СЕРГІЙ МИХАЙЛОВИЧ,UA-12,Дніпропетровська,"53250, Дніпропетровська обл., Нікопольський район, село Павлопілля, ВУЛИЦЯ 40 РОКІВ ПЕРЕМОГИ, будинок 64",Складське господарство,52.10,52,перевезення,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХЛІБНА БАЗА №73"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","ДП ""ХЛІБНА БАЗА №73""",52.10 Складське господарство,зареєстровано
20242691,0,NA,"ДЕРЖАВНЕ ЗОВНІШНЬОЕКОНОМІЧНЕ ПІДПРИЄМСТВО ""УКРКОЛЬОРПРОМ""","ДЕРЖАВНЕ ЗОВНІШНЬОЕКОНОМІЧНЕ ПІДПРИЄМСТВО ""УКРКОЛЬОРПРОМ""",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,ФЕДОРЧУК ОЛЕКСАНДР ПЕТРОВИЧ,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ВУЛИЦЯ КОМСОМОЛЬСЬКА, будинок 34-А","Виробництво чавуну, сталі та феросплавів",24.10,24,виробництво,зареєстровано,"ДЕРЖАВНЕ ЗОВНІШНЬОЕКОНОМІЧНЕ ПІДПРИЄМСТВО ""УКРКОЛЬОРПРОМ""",NA,24.10 Виробництво чавуну сталі та феросплавів,зареєстровано
20258137,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ГРОМАДСЬКОГО ХАРЧУВАННЯ ""МЕТАЛ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ГРОМАДСЬКОГО ХАРЧУВАННЯ ""МЕТАЛ""",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,СУШКЕВИЧ ІРИНА МИХАЙЛІВНА,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ПЛОЩА В.І.ЛЕНІНА, будинок 1",Інші види оптової торгівлі,51.90,46,торгівля,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ГРОМАДСЬКОГО ХАРЧУВАННЯ ""МЕТАЛ""","ДПГХ ""МЕТАЛ""",51.70.0 ІНШІ ВИДИ ОПТОВОЇ ТОРГІВЛІ,зареєстровано
20265479,0,NA,"ПАЛАЦ КУЛЬТУРИ ""АВТОМОБИЛИСТ""","ПАЛАЦ КУЛЬТУРИ ""АВТОМОБИЛИСТ""",МІНІСТЕРСТВО ІНФРАСТРУКТУРИ УКРАЇНИ,NA,UA-12,Дніпропетровська,"49069, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ВУЛИЦЯ ГЕРОЇВ СТАЛІНГРАДА, будинок 1",Діяльність концертних та театральних залів,92.32,79,спеціалізовані послуги,в стані припинення,"ПАЛАЦ КУЛЬТУРИ ""АВТОМОБИЛИСТ""","ПК ""АВТОМОБИЛИСТ""",NA,в стані припинення
20275644,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КРИВОРІЗЬКИЙ МАГАЗИН ""МЕДТЕХНІКА""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КРИВОРІЗЬКИЙ МАГАЗИН ""МЕДТЕХНІКА""",МІНІСТЕРСТВО ОХОРОНИ ЗДОРОВ'Я УКРАЇНИ,ВАСЬКО ГАННА ВАЛЕРІЇВНА,UA-12,Дніпропетровська,"50002, Дніпропетровська обл., місто Кривий Ріг, Центрально-Міський район, ВУЛ. ЛЕРМОНТОВА, будинок 18",Роздрібна торгівля медичними й ортопедичними товарами в спеціалізованих магазинах,47.74,47,торгівля,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КРИВОРІЗЬКИЙ МАГАЗИН ""МЕДТЕХНІКА""","ДП КМ""МЕДТЕХНІКА""",47.74 Роздрібна торгівля медичними й ортопедичними товарами в спеціалізованих магазинах,зареєстровано
20280728,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ВІДОМЧОЇ ОХРАНИ ""ЗАСЛІН""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ВІДОМЧОЇ ОХРАНИ ""ЗАСЛІН""",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,ЦВЕТКОВ СТЕПАН ФЕДОРОВИЧ,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ПЛОЩА ЛЕНІНА, будинок 1",Слідча діяльність та забезпечення безпеки,74.60,NA,NA,"зареєстровано, свідоцтво про державну реєстрацію недійсне","ДЕРЖАВНЕ ПІДПРИЄМСТВО ВІДОМЧОЇ ОХРАНИ ""ЗАСЛІН""",NA,NA,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
20294989,0,NA,ДЕРЖАВНЕ ПІДПРИЄМСТВО ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ І ВПРОВАДЖУВАЛЬНИЙ ЦЕНТР СТАНДАРТИЗАЦІЇ ТА СЕРТИФІКАЦІЇ ПРОДУКЦІЇ ГІРНИЧОРУДНОЇ ПРОМИСЛОВОСТІ (ЦЕНТР СТАНДАРТРУДСЕПРО),ДЕРЖАВНЕ ПІДПРИЄМСТВО ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ І ВПРОВАДЖУВАЛЬНИЙ ЦЕНТР СТАНДАРТИЗАЦІЇ ТА СЕРТИФІКАЦІЇ ПРОДУКЦІЇ ГІРНИЧОРУДНОЇ ПРОМИСЛОВОСТІ (ЦЕНТР СТАНДАРТРУДСЕПРО),МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,ЖЕЛЕЗНОВА ТЕТЯНА АНАТОЛІЇВНА,UA-12,Дніпропетровська,"50086, Дніпропетровська обл., місто Кривий Ріг, Довгинцівський район, ВУЛИЦЯ ТЕЛЕВІЗІЙНА, будинок 3",Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,73.10,72,дослідження,в стані припинення,ДЕРЖАВНЕ ПІДПРИЄМСТВО ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ І ВПРОВАДЖУВАЛЬНИЙ ЦЕНТР СТАНДАРТИЗАЦІЇ ТА СЕРТИФІКАЦІЇ ПРОДУКЦІЇ ГІРНИЧОРУДНОЇ ПРОМИСЛОВОСТІ (ЦЕНТР СТАНДАРТРУДСЕПРО),ЦЕНТР СТАНДАРТРУДСЕПРО,73.10.1 ДОСЛІДЖЕННЯ І РОЗРОБКИ В ГАЛУЗІ ПРИРОДНИЧИХ НАУК,в стані припинення
20295014,0,NA,ТОРГОВЕЛЬНО-ПРОМИСЛОВЕ ПІДПРИЄМСТВО ДНІПРОПЕТРОВСЬКОГО НАЦІОНАЛЬНОГО УНІВЕРСИТЕТУ,ТОРГОВЕЛЬНО - ПРОМИСЛОВЕ ПІДПРИЄМСТВО ДНІПРОПЕТРОВСЬКОГО НАЦІОНАЛЬНОГО УНІВЕРСИТЕТУ,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ,ЛОСЬ СВІТЛАНА ВАСИЛІВНА,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Жовтневий район, ПР. ГАГАРІНА, будинок 72",Постачання інших готових страв,56.29,56,поселення і харчування,зареєстровано,ТОРГОВЕЛЬНО - ПРОМИСЛОВЕ ПІДПРИЄМСТВО ДНІПРОПЕТРОВСЬКОГО НАЦІОНАЛЬНОГО УНІВЕРСИТЕТУ,NA,56.29 Постачання інших готових страв,зареєстровано
21853712,0,NA,"ДЕРЖАВНА СПЕЦІАЛІЗОВАНА ФІРМА ""ТЕПЛОМОНТАЖ""","ДЕРЖАВНА СПЕЦІАЛІЗОВАНА ФІРМА ""ТЕПЛОМОНТАЖ""","УКРАЇНСЬКА ДЕРЖАВНА КОРПОРАЦІЯ ПО ВИКОНАННЮ МОНТАЖНИХ І СПЕЦІАЛЬНИХ БУДІВЕЛЬНИХ РОБІТ ""УКРМОНТАЖСПЕЦБУД""",СУХОВАРОВ ВОЛОДИМИР АНДРІЙОВИЧ,UA-12,Дніпропетровська,"49002, Дніпропетровська обл., місто Дніпро, Жовтневий район, ВУЛИЦЯ ЯКОВА САМАРСЬКОГО, будинок 12",Виготовлення каркасних конструкцій і покрівель,45.22,43,будівництво і нерухомість,зареєстровано,"ДЕРЖАВНА СПЕЦІАЛІЗОВАНА ФІРМА ""ТЕПЛОМОНТАЖ""",-,26.61.0 ВИРОБНИЦТВО ВИРОБІВ З БЕТОНУ ДЛЯ БУДІВНИЦТВА,зареєстровано
21871503,0,NA,ДЕРЖАВНЕ ПІДПРИЄМСТВО ДНІПРОПЕТРОВСЬКИЙ ДЕРЖАВНИЙ ВЕТСАНЗАВОД МІНІСТЕРСТВА СІЛЬСЬКОГО ГОСПОДАРСТВА І ПРОДОВОЛЬСТВА УКРАЇНИ,ДНІПРОПЕТРОВСЬКИЙ ДЕРЖАВНИЙ ВЕТСАНЗАВОД МІНІСТЕРСТВА СІЛЬСЬКОГО ГОСПОДАРСТВА І ПРОДОВОЛЬСТВА УКРАЇНИ,МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,ЩЕРБИНА ЕДУАРД ВОЛОДИМИРОВИЧ,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ВУЛИЦЯ ГЕРОЇВ СТАЛІНГРАДА, будинок 271","Виробництво готових кормів для тварин, що утримуються на фермах",15.71,10,виробництво,в стані припинення,ДНІПРОПЕТРОВСЬКИЙ ДЕРЖАВНИЙ ВЕТСАНЗАВОД МІНІСТЕРСТВА СІЛЬСЬКОГО ГОСПОДАРСТВА І ПРОДОВОЛЬСТВА УКРАЇНИ,ДНІПРОПЕТРОВСЬКИЙ ДЕРЖАВНИЙ ВЕТСАНЗАВОД,"15.71.0 ВИРОБНИЦТВО ГОТОВИХ КОРМІВ ДЛЯ ТВАРИН, ЩО УТРИМУЮТЬСЯ НА ФЕРМАХ",в стані припинення
21921514,0,NA,"ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ВЕГА""","ДЕРЖАВНЕ НАУКОВО - ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ВЕГА""",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,БИКОВЕЦЬ ВОЛОДИМИР ІЛЛІЧ,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Красногвардійський район, ВУЛИЦЯ КРИВОРІЗЬКА, будинок 20",Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,72.19,72,дослідження,зареєстровано,"ДЕРЖАВНЕ НАУКОВО - ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ВЕГА""","ДНВП ""ВЕГА""",72.19 Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
21926813,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВИДАВНИЦТВО ДНІПРОПЕТРОВСЬКОГО НАЦІОНАЛЬНОГО УНІВЕРСИТЕТУ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО "" ВИДАВНИЦТВО ДНІПРОПЕТРОВСЬКОГО НАЦІОНАЛЬНОГО УНІВЕРСИТЕТУ""",МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ,УСЕНКО ВАЛЕНТИНА АНДРІЇВНА,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Жовтневий район, ПРОСПЕКТ ГАГАРІНА, будинок 72",Видання книг,58.11,58,телекомунікації,в стані припинення,"ДЕРЖАВНЕ ПІДПРИЄМСТВО "" ВИДАВНИЦТВО ДНІПРОПЕТРОВСЬКОГО НАЦІОНАЛЬНОГО УНІВЕРСИТЕТУ""",NA,58.11 Видання книг,в стані припинення
22996170,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ДНІПРРЕМБУДСЕРВІС""","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ДНІПРРЕМБУДСЕРВІС""",МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ,ЄВСТАФ'ЄВА ВІКТОРІЯ ВІКТОРІВНА,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Жовтневий район, ПРОСПЕКТ ПРАЦІ, будинок 2",Будівництво житлових і нежитлових будівель,45.21,41,будівництво і нерухомість,в стані припинення,"ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ДНІПРРЕМБУДСЕРВІС""",NA,45.21.1 БУДІВНИЦТВО БУДІВЕЛЬ,в стані припинення
23067478,35728641,2016-03-31,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОПЕТРОВСЬКИЙ ЦЕНТР ЗАХИСТУ ПРАВ СПОЖИВАЧІВ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОПЕТРОВСЬКИЙ ЦЕНТР  ЗАХИСТУ ПРАВ СПОЖИВАЧІВ""",ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ БЕЗПЕЧНОСТІ ХАРЧОВИХ ПРОДУКТІВ ТА ЗАХИСТУ СПОЖИВАЧІВ,ГУРТОВА МАРИНА ІВАНІВНА,UA-12,Дніпропетровська,"49000, Дніпропетровська обл., місто Дніпро, Індустріальний район,  ВУЛИЦЯ  ОСІННЯ, будинок 4 А",Технічні випробування та дослідження,71.20,71,дослідження,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОПЕТРОВСЬКИЙ ЦЕНТР  ЗАХИСТУ ПРАВ СПОЖИВАЧІВ""","ДП ""ДНІПРОПЕТРОВСЬКИЙ ЦЗПС""",71.20 Технічні випробування та дослідження,зареєстровано
23369086,0,2017-06-30,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРИДНІПРОВСЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРИДНІПРОВСЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ""",ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ПРАЦІ,ІВАНКО ВІКТОР ЛЕОНІДОВИЧ,UA-12,Дніпропетровська,"49050, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ВУЛИЦЯ КАЗАКОВА, будинок 3",Технічні випробування та дослідження,71.20,71,дослідження,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРИДНІПРОВСЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ""","ДП ""ПРИДНІПРОВСЬКИЙ ЕТЦ""",71.20 Технічні випробування та дослідження,зареєстровано
23642971,0,NA,"ДНІПРОПЕТРОВСЬКЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГОСПРОЗРАХУНКОВА АПТЕКА ДЛЯ ОБСЛУГОВУВАННЯ ОСІБ, ПОТЕРПІЛИХ ВНАСЛІДОК ЧОРНОБИЛЬСЬКОЇ КАТАСТРОФИ""","ДНІПРОПЕТРОВСЬКЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГОСПРОЗРАХУНКОВА АПТЕКА ДЛЯ ОБСЛУГОВУВАННЯ ОСІБ, ПОТЕРПІЛИХ ВНАСЛІДОК ЧОРНОБИЛЬСЬКОЇ КАТАСТРОФИ""",ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ,РОЗУМНА ЛАРИСА ВАСИЛІВНА,UA-12,Дніпропетровська,"49005, Дніпропетровська обл., місто Дніпро, Жовтневий район, ПЛОЩА ЖОВТНЕВА, будинок 14",Роздрібна торгівля фармацевтичними товарами в спеціалізованих магазинах,47.73,47,торгівля,в стані припинення,"ДНІПРОПЕТРОВСЬКЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГОСПРОЗРАХУНКОВА АПТЕКА ДЛЯ ОБСЛУГОВУВАННЯ ОСІБ, ПОТЕРПІЛИХ ВНАСЛІДОК ЧОРНОБИЛЬСЬКОЇ КАТАСТРОФИ""",АПТЕКА ДЛЯ ОБСЛУГОВУВАННЯ ЧОРНОБИЛЬЦІВ,47.73 Роздрібна торгівля фармацевтичними товарами в спеціалізованих магазинах,в стані припинення
23945298,0,NA,"ДЕРЖАВНА ХОЛДИНГОВА КОМПАНІЯ  ""ДНІПРОВСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД""","ДЕРЖАВНА ХОЛДИНГОВА КОМПАНІЯ ""ДНІПРОВСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД""",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,ПІДЛУБНИЙ ВАСИЛЬ ІВАНОВИЧ,UA-12,Дніпропетровська,"49055, Дніпропетровська обл., місто Дніпро, Красногвардійський район, ВУЛИЦЯ БУДІВЕЛЬНИКІВ, будинок 34",Діяльність головних управлінь (хед-офісів),74.15,70,дослідження,зареєстровано,"ДЕРЖАВНА ХОЛДИНГОВА КОМПАНІЯ ""ДНІПРОВСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД""","ДАХК ""ДМЗ""",70.10 Діяльність головних управлінь (хед-офісів),зареєстровано
